,Videocard Name,Price (USD)
672,GRID K2,"$4,449.99 "
673,GRID K220Q,
674,GRID K240Q,
675,GRID K260Q,
676,GRID K280Q,
677,GRID K520,$149.99*
678,GRID M10-0Q,
679,GRID M10-1B,
680,GRID M10-1Q,
681,GRID M10-2B,
682,GRID M10-2Q,
683,GRID M10-4Q,
684,GRID M10-8Q,
685,GRID M6-0B,
686,GRID M6-1Q,
687,GRID M6-8Q,
688,GRID M60-0B,
689,GRID M60-0Q,
690,GRID M60-1B,
691,GRID M60-1Q,
692,GRID M60-2Q,
693,GRID M60-4Q,
694,GRID M60-8A,
695,GRID M60-8Q,
696,GRID P100-16Q,
697,GRID P100-1B,
698,GRID P100-8Q,
699,GRID P40-24Q,
700,GRID P40-2B,
701,GRID P40-2Q,
702,GRID P40-3Q,
703,GRID P40-4Q,
704,GRID P40-8Q,
705,GRID P6-2Q,
706,GRID P6-4Q,
707,GRID RTX6000-1B,
708,GRID RTX6000P-6Q,
709,GRID T4-16Q,
710,GRID T4-1Q,
711,GRID T4-2B,
712,GRID T4-2Q,
713,GRID T4-4Q,
714,GRID T4-8Q,
715,GRID V100-8Q,
716,GRID V100D-8Q,
717,GT 430,$142.88*
718,IncrediblE HD,
719,IncrediblE HD 4000,
720,IncrediblE HD 4600,
721,Intel - Express Chipset G41,
722,Intel - Express Chipset Q45/Q43,
723,Intel 2nd Generation SandyBridge HD,
724,Intel 2nd Generation SandyBridge HD 3000,
725,Intel 4th Generation Haswell HD,
726,Intel 82845G Controller,
727,Intel 82845G/GL Controller,
728,Intel 82845G/GL/GE/PE/GV Controller,
729,Intel 82852/82855 GM/GME Controller,
730,Intel 82865G Controller,
731,Intel 82915G Express,
732,Intel 82915G/915GV/910GL,
733,Intel 82915G/GV/910GL Advanced v3.5,
734,Intel 82915G/GV/910GL Express,
735,Intel 82945G Express,
736,Intel 82945G Express-Chipsatzfamilie,
737,Intel 865 Embedded Controller,
738,"Intel 915G,910G Express",
739,Intel 915G/915GV/910GL Embedded Controller Functio,
740,Intel 945G Embedded Chipset Function 0,
741,Intel 946GZ Embedded Chipset,
742,Intel 946GZ Express,
743,Intel Arc A310,
744,Intel Arc A380,
745,Intel Arc A750,$219.99 
746,Intel Arc A770,$339.99 
747,Intel Arc A770M,
748,Intel B43 Express Chipset,
749,Intel Coffee Lake UHD,
750,Intel d gfx-driver-ci-master-14429 DCH RI,
751,Intel Extreme Controller,
752,Intel G33/G31 Express,
753,Intel G35 Express,
754,Intel G41 Express Chipset,
755,Intel G41 Express-Chipsatz,
