,Videocard Name,Price (USD)
2296,Ryzen 3 PRO 4350GE with Radeon Graphics,
2297,Ryzen 3 PRO 4450U with Radeon Graphics,
2298,Ryzen 3 PRO 5350G with Radeon Graphics,
2299,Ryzen 3 PRO 5350GE with Radeon Graphics,
2300,Ryzen 3 PRO 5450U with Radeon Graphics,
2301,Ryzen 3 PRO 5475U with Radeon Graphics,
2302,Ryzen 3 PRO 7330U with Radeon Graphics,
2303,Ryzen 5 2500U with Radeon Vega,
2304,Ryzen 5 4500U with Radeon Graphics,
2305,Ryzen 5 4600G with Radeon Graphics,
2306,Ryzen 5 4600H with Radeon Graphics,
2307,Ryzen 5 4600HS with Radeon Graphics,
2308,Ryzen 5 4600U with Radeon Graphics,
2309,Ryzen 5 5500U with Radeon Graphics,
2310,Ryzen 5 5560U with Radeon Graphics,
2311,Ryzen 5 5600G with Radeon Graphics,
2312,Ryzen 5 5600GE with Radeon Graphics,
2313,Ryzen 5 5600H with Radeon Graphics,
2314,Ryzen 5 5600U with Radeon Graphics,
2315,Ryzen 5 5625U with Radeon Graphics,
2316,Ryzen 5 6600HS Creator Edition,
2317,Ryzen 5 6600U with Radeon Graphics,
2318,Ryzen 5 7530U with Radeon Graphics,
2319,Ryzen 5 7535U with Radeon Graphics,
2320,Ryzen 5 PRO 4400G with Radeon Graphics,
2321,Ryzen 5 PRO 4400GE with Radeon Graphics,
2322,Ryzen 5 PRO 4500U with Radeon Graphics,
2323,Ryzen 5 Pro 4650G with Radeon Graphics,
2324,Ryzen 5 PRO 4650GE with Radeon Graphics,
2325,Ryzen 5 PRO 4650U with Radeon Graphics,
2326,Ryzen 5 PRO 5650G with Radeon Graphics,
2327,Ryzen 5 PRO 5650GE with Radeon Graphics,
2328,Ryzen 5 PRO 5650U with Radeon Graphics,
2329,Ryzen 5 PRO 5675U with Radeon Graphics,
2330,Ryzen 5 PRO 6650U,
2331,Ryzen 5 PRO 6650U with Radeon Graphics,
2332,Ryzen 5 PRO 7530U with Radeon Graphics,
2333,Ryzen 7 2700U with Radeon Vega,
2334,Ryzen 7 4700G with Radeon Graphics,
2335,Ryzen 7 4700GE with Radeon Graphics,
2336,Ryzen 7 4700U with Radeon Graphics,
2337,Ryzen 7 4800H with Radeon Graphics,
2338,Ryzen 7 4800U with Radeon Graphics,
2339,Ryzen 7 5700G with Radeon Graphics,
2340,Ryzen 7 5700GE with Radeon Graphics,
2341,Ryzen 7 5700U with Radeon Graphics,
2342,Ryzen 7 5800H with Radeon Graphics,
2343,Ryzen 7 5800HS with Radeon Graphics,
2344,Ryzen 7 5800U with Radeon Graphics,
2345,Ryzen 7 5825U with Radeon Graphics,
2346,Ryzen 7 6800H,
2347,Ryzen 7 6800H with Radeon Graphics,
2348,Ryzen 7 6800HS,
2349,Ryzen 7 6800HS Creator Edition,
2350,Ryzen 7 6800HS with Radeon Graphics,
2351,Ryzen 7 6800U,
2352,Ryzen 7 6800U with Radeon Graphics,
2353,Ryzen 7 7730U with Radeon Graphics,
2354,Ryzen 7 7735HS with Radeon Graphics,
2355,Ryzen 7 Extreme Edition,
2356,Ryzen 7 Pro 4750G with Radeon Graphics,
2357,Ryzen 7 PRO 4750GE with Radeon Graphics,
2358,Ryzen 7 PRO 4750U with Radeon Graphics,
2359,Ryzen 7 PRO 5750G with Radeon Graphics,
2360,Ryzen 7 PRO 5750GE with Radeon Graphics,
2361,Ryzen 7 PRO 5850U with Radeon Graphics,
2362,Ryzen 7 PRO 5875U with Radeon Graphics,
2363,Ryzen 7 PRO 6850HS with Radeon Graphics,
2364,Ryzen 7 PRO 6850U,
2365,Ryzen 7 PRO 6850U with Radeon Graphics,
2366,Ryzen 7 PRO 6860Z,
2367,Ryzen 7 PRO 6860Z with Radeon Graphics,
2368,Ryzen 7 PRO 7730U with Radeon Graphics,
2369,Ryzen 9 5900HS with Radeon Graphics,
2370,Ryzen 9 5900HX with Radeon Graphics,
2371,Ryzen 9 6900HS,
2372,Ryzen 9 6900HS with Radeon Graphics,
2373,Ryzen 9 6900HX,
2374,Ryzen 9 6900HX with Radeon Graphics,
2375,Ryzen 9 PRO 6950H,
2376,Ryzen 9 PRO 6950HS with Radeon Graphics,
2377,S3 5400EW,
2378,S3 Chrome 430 ULP,
2379,S3 Chrome S25 DDR2,
2380,S3 Chrome S27 DDR3,
2381,S3 Inc. Savage4,
2382,S3 ProSavageDDR,
2383,S3 SuperSavage/IXC 1014,
2384,SAPPHIRE RADEON 9000 ATLANTIS PRO,
2385,SAPPHIRE RADEON 9600 ATLANTIS,
2386,SAPPHIRE Radeon X1550,
2387,Sapphire RADEON X800 GT,
2388,Seria Mobility Radeon HD 3400,
2389,Seria Radeon HD 7700,
2390,SUMO 9640,
2391,SUMO 9644,
2392,SUMO 964A,
2393,Surface Duo Adreno 640 GPU,
2394,T1000,$399.99 
2395,T1000 8GB,
2396,T1200 Laptop GPU,
2397,T400,$179.99*
2398,T400 4GB,
2399,T500,
2400,T550 Laptop GPU,
2401,T600,$239.99*
2402,T600 Laptop GPU,
2403,TENSOR 1.0 Driver Intel HD 630,
2404,Tesla C2050,$269.99*
2405,Tesla C2050 / C2070,
2406,Tesla C2070,$604.00*
2407,Tesla C2075,$646.00*
2408,Tesla K20m,
2409,Tesla K20Xm,
2410,Tesla K40c,
2411,Tesla K40m,
2412,Tesla K80,$593.95*
2413,Tesla M10,"$2,695.00*"
2414,Tesla M2070-Q,
2415,Tesla M40,$600.00*
2416,Tesla M40 24GB,
2417,Tesla M6,$199.00*
2418,Tesla M60,$787.90*
2419,Tesla P100-PCIE-16GB,
2420,Tesla P4,
2421,Tesla P40,
2422,Tesla T10,
2423,Tesla T4,"$4,441.45 "
2424,TITAN RTX,"$2,794.99*"
2425,TITAN V,"$1,999.99*"
2426,TITAN V CEO Edition,
2427,TITAN Xp COLLECTORS EDITION,
2428,TRINITY DEVASTATOR MOBILE,
2429,TRINITY SCRAPPER MOBILE,
2430,V9560XT,
2431,Vanta/Vanta LT,
2432,VIA Chrome9 HC IGP,
2433,VIA Chrome9 HC IGP Family,
2434,VIA Chrome9 HC IGP Family WDDM,
2435,VIA Chrome9 HC IGP Prerelease WDDM 1.1,
2436,VIA Chrome9 HC IGP WDDM,
2437,VIA Chrome9 HC IGP WDDM 1.1,
2438,VIA Chrome9 HC3 IGP,
2439,VIA Chrome9 HCM IGP,
2440,VIA Chrome9 HD IGP,
2441,VIA/S3G C-645/640 GPU,
2442,VIA/S3G Chrome 645/640 GPU,
2443,VIA/S3G DeltaChrome IGP,
2444,VIA/S3G KM400/KN400,
2445,VIA/S3G UniChrome IGP,
2446,VIA/S3G UniChrome Pro IGP,
2447,VIA/S3G UniChromeII,
2448,VisionTek Radeon 7000,
2449,WinFast A250 LE,
2450,Xabre,
2451,XGI Volari Family v1.13.23.D_V,
2452,ZX Chrome 645/640 GPU,
