Videocard Name,Price (USD)
Radeon HD 8950,
Radeon HD 5870,295
Quadro K3100M,399.95
Radeon HD 5970,179.99
Quadro K620,2029.99
FirePro V8800,198
GRID P100-1B,
Radeon HD 6870,275
Ryzen 3 5300G with Radeon Graphics,
Radeon Ryzen 5 PRO 5650G,
Radeon HD 7770,300
Radeon Ryzen 7 PRO 4750GE,
Ryzen 3 Pro 4350G with Radeon Graphics,
Ryzen 7 4700G with Radeon Graphics,
Radeon Ryzen 5 4600G,
RadeonT R7 450,
Ryzen 5 PRO 5650U with Radeon Graphics,
Ryzen 3 PRO 4350GE with Radeon Graphics,
GeForce GTX 745,284.95
Intel Iris Pro P580,
Radeon Ryzen 3 PRO 4350G,
Ryzen 5 5600U with Radeon Graphics,
Ryzen 7 Extreme Edition,
Radeon Ryzen 7 PRO 5750G,
Radeon Ryzen Embedded V2718,
Radeon Ryzen 5 PRO 5650U,
Radeon Ryzen 7 4850U Mobile,
Radeon RX Vega 11,1002
Quadro P520,1499
Ryzen 7 4800H with Radeon Graphics,
Radeon TM R9 A360,
FirePro M5100,
Radeon Ryzen 5 Microsoft Surface Edition,
GeForce GTX 560 SE,89.99
GRID M6-1Q,
Ryzen 5 4600G with Radeon Graphics,
Quadro 5000M,
GeForce GTX 480M,
Radeon Ryzen 7 4700U,
Radeon Ryzen 5 PRO 4650GE,
FirePro V7800,190
Ryzen 7 4700U with Radeon Graphics,
Ryzen 7 PRO 4750U with Radeon Graphics,
Radeon Ryzen 7 PRO 4750U,
Radeon R9 M385,
Radeon Ryzen 5 5600U,
Radeon Pro W5500M,
Quadro M600M,251.99
Ryzen 5 PRO 4500U with Radeon Graphics,
Radeon R9 350,299
GeForce GT 645,
GeForce GTX 460 v2,199.99
Ryzen 5 5500U with Radeon Graphics,
Intel Iris Pro 580,
Quadro 5000,2368.9
Radeon R7 + R7 350 Dual,
Quadro M520,
Radeon HD 6850,85
Ryzen 5 PRO 4650GE with Radeon Graphics,
GeForce GTX 460 SE,159.99
Intel Iris Xe MAX,
GeForce GTX 765M,186.3
Radeon HD 5850,288.99
Radeon R7 450,299
Radeon R9 M275X,
Radeon R7 + HD 7700 Dual,
Intel UHD ReleaseInternal,
Radeon 550,99.99
Radeon HD 7660D + HD 7700 Dual,
GeForce GTX 470M,
Ryzen 5 4600U with Radeon Graphics,
Quadro K4000M,254
FirePro M6100,
GeForce 945M,
Ryzen 5 4600H with Radeon Graphics,
Radeon Pro WX 4150,612.03
GeForce GTX 675M,
Radeon R9 M385X,
Radeon RX 570X,279.99
Radeon HD 7560D + 7700 Dual,
GeForce GTX 570M,
GeForce GTX 670MX,
Matrox C680 PCIe x16,
Ryzen 3 4300G with Radeon Graphics,
Radeon HD 7700-serie,
GeForce MX130,
Radeon HD 8670D + HD 7700 Dual,
Quadro 5010M,235.95
GeForce MX230,
Radeon Pro WX 4130,
FirePro 3D V7800,599.99
GeForce GTX 645,
GeForce 945A,
Intel Iris Plus,
Radeon Vega 11,
Radeon R9 M375X,
FirePro M5100 FireGL V,
GRID M60-0B,
Radeon HD 8570D + HD 7700 Dual,
MxGPU,
FirePro M6000,325.99
Ryzen 5 4500U with Radeon Graphics,
Matrox C900 PCIe x16,
RadeonT RX 560X,
GeForce GTX 555,
RadeonT 540X,
Radeon Ryzen 5 4600U,
Radeon HD 8870M / R9 M270X / M370X,
Radeon RX Vega 11 Processor,
Radeon Ryzen 5 4500U,
Ryzen 3 PRO 4200G with Radeon Graphics,
Embedded Radeon E9173,
Intel Iris 650,
Radeon RX 540,
Radeon HD 8670D + 7700 Dual,
Ryzen 3 PRO 4200GE with Radeon Graphics,
GeForce GTX 670M,
Intel UHD 750,
Intel Iris Plus 655,
GeForce GTX 650,109.98
Radeon Pro WX 2100,
Radeon R9 M360,
FirePro W600,414.99
Intel UHD P750,
Intel Iris Plus 645,
Radeon HD 5830,258.99
Ryzen 3 5400U with Radeon Graphics,
Radeon RX Vega11,
Radeon Ryzen 3 PRO 4200GE,
Radeon HD 6900M,
FirePro M6000 Mobility Pro,
Radeon Ryzen 5 PRO 4650U,
Radeon HD 7750,99.99
Ryzen 5 PRO 4650U with Radeon Graphics,
Radeon RX Vega 10,
GeForce GTX 760M,
Qualcomm Adreno 8cx Gen 3,
Radeon R7 M380,
Radeon Vega 9,
Intel Iris Pro P6300,
Radeon HD HD7850M,
Radeon HD 8870M,
Quadro K3000M,407.56
Radeon E8860,
Ryzen 3 5300U with Radeon Graphics,
Radeon R7 M465X,
Ryzen 7 2700U with Radeon Vega,
Quadro K2000D,339.99
Quadro P400,201.17
Radeon HD 6790,294
GeForce GT 755M,
Seria Radeon HD 7700,
FirePro M4000,72.83
Radeon Ryzen 3 4300G,
Radeon Vega 8,126.86
FirePro M4000 Mobility Pro,
Intel UHD,
Intel Iris Plus 650,
Radeon R9 M275X / M375,
Quadro K2000,294
